accession,gsm_id,immune_state,PC1_immune_decoupling_gradient,PC2,PC3
GSE134347,GSM3942906,Decoupled inflammatory / MHC-II-low,0.2955207208515455,1.4314357277632015,1.445925805875799
GSE134347,GSM3942908,Decoupled inflammatory / MHC-II-low,1.6349402545999645,-0.9547972779644124,1.000030681052233
GSE134347,GSM3942910,Decoupled inflammatory / MHC-II-low,0.761528088154964,0.2941469776474381,-0.678993403060023
GSE134347,GSM3942913,Decoupled inflammatory / MHC-II-low,1.6035617624612368,-0.4409147985993253,0.3342131171729222
GSE134347,GSM3942915,Decoupled inflammatory / MHC-II-low,0.7146485055129983,-0.1322596694567606,-0.496590263311538
GSE134347,GSM3942918,Decoupled inflammatory / MHC-II-low,2.8872129117113174,-0.3614961410358859,0.968072041354984
GSE134347,GSM3942920,Decoupled inflammatory / MHC-II-low,0.5362059172806761,0.8719929058957779,-1.014469187538872
GSE134347,GSM3942926,Decoupled inflammatory / MHC-II-low,0.7197190077465576,-0.2748371332352148,-0.3414423951772664
GSE134347,GSM3942927,Decoupled inflammatory / MHC-II-low,2.5354557704887632,-0.1094603493666994,-0.1550280586792487
GSE134347,GSM3942929,Decoupled inflammatory / MHC-II-low,2.3459018862877743,-0.1327694228413552,0.6803124708414237
GSE134347,GSM3942932,Decoupled inflammatory / MHC-II-low,1.5029814721291437,0.3946455012442559,-0.359256601530162
GSE134347,GSM3942938,Decoupled inflammatory / MHC-II-low,2.94017122281085,-0.3807068485184441,-0.5023073137715709
GSE134347,GSM3942939,Decoupled inflammatory / MHC-II-low,2.1481075191351193,0.5050084039846587,0.3482480030174447
GSE134347,GSM3942943,Decoupled inflammatory / MHC-II-low,3.3768389953973306,0.2883609628992185,-0.182928231106334
GSE134347,GSM3942973,Decoupled inflammatory / MHC-II-low,0.5488104928649058,0.8423414537913932,-1.3952330481493351
GSE134347,GSM3942974,Decoupled inflammatory / MHC-II-low,1.7120756244004869,1.3203245701714983,-0.5390946067380309
GSE134347,GSM3942977,Decoupled inflammatory / MHC-II-low,1.274145661485795,-0.4587075293902795,2.4973657510078313
GSE134347,GSM3942986,Decoupled inflammatory / MHC-II-low,0.3747560501020992,1.9173120454014128,-0.7677980813353995
GSE134347,GSM3942989,Decoupled inflammatory / MHC-II-low,0.9171684804525349,1.3911548861281304,-0.7800849011218657
GSE134347,GSM3942992,Decoupled inflammatory / MHC-II-low,3.682331674876928,0.6210863997957925,-0.0688415528900145
GSE134347,GSM3942996,Decoupled inflammatory / MHC-II-low,2.034183024976167,0.9992772040210696,0.184110706913622
GSE134347,GSM3942999,Decoupled inflammatory / MHC-II-low,2.6528089419732286,0.9917282333520276,-0.74155654659778
